,portfolio,benchmark,risk_free,portfolio_return,benchmark_return,excess_return
2001-02-28,1129169.8614922347,1003448.66112,0.05098947,-0.05902511542313771,-0.09118169109876417,-0.0632742379231377
2001-03-30,1350018.4845377938,939879.5508,0.048854550000000004,0.1955849430427592,-0.06335063544660802,0.1915137305427592
2001-04-30,1490662.8604693646,1012918.04316,0.051409993,0.10417959275551936,0.0777104814099121,0.09989542667218602
2001-05-31,1465919.918804597,1019704.52064,0.053913636,-0.01659861684417141,0.006699927527036964,-0.02109141984417141
2001-06-29,1660197.9179860423,994886.34792,0.052842855,0.13252974919658067,-0.02433859242324765,0.12812617794658068
2001-07-31,1626746.989007499,985092.55668,0.052361899999999996,-0.020148759744935685,-0.0098441306994268,-0.02451225141160235
2001-08-31,1663517.058985849,923424.05472,0.049713054000000007,0.022603435092745316,-0.06260173375772704,0.018460680592745315
2001-09-28,962299.8460360812,848855.20992,0.04748667,-0.42152691441424694,-0.08075254745514582,-0.42548413691424697
2001-10-31,1335587.1588781625,865042.0092000001,0.04564782,0.3879116414491093,0.01906897559305265,0.38410765644910927
2001-11-30,1571106.3795993691,931396.1636399999,0.046366677,0.17634133358921544,0.07670627985034484,0.17247744383921546
2001-12-31,1825223.6933178129,939555.72192,0.050875006,0.16174418041841543,0.008760566769044464,0.1575045965850821
2002-01-31,2124364.0009043347,925844.64636,0.050357139999999995,0.16389240873964184,-0.014593147846496235,0.1596959804063085
2002-02-28,2304109.056906934,907989.37404,0.04911579,0.08461123231521639,-0.019285387014115973,0.0805182498152164
2002-03-28,2559014.929530195,942138.2278799999,0.052839994,0.11063099285996914,0.03760930999451939,0.1062276600266358
2002-04-30,2420283.2523071216,885018.41844,0.052109094,-0.05421292217648099,-0.060627843929580205,-0.05855534667648099
2002-05-31,2907365.575796726,878498.31624,0.05164546,0.20125013178738316,-0.007367193794105331,0.19694634345404982
2002-06-28,2535425.8566956837,815914.6205999999,0.049264989999999995,-0.12793015168005395,-0.07123940306210286,-0.13203556751338727
2002-07-31,2083400.2863604566,752318.2344,0.046531825,-0.17828388439815523,-0.07794490329543668,-0.18216153648148856
2002-08-30,2191068.1971549196,757257.4947599999,0.042572727,0.0516789363519532,0.006565387005326606,0.0481312091019532
2002-09-30,2492237.162605621,674959.12236,0.038700001,0.13745303128481634,-0.10867950858126929,0.134228031201483
2002-10-31,2728856.585645414,734366.62584,0.03936087,0.09494257873612977,0.08801644649572427,0.09166250623612977
2002-11-29,3033982.2458127886,777590.8120800001,0.04038501,0.11181447268882683,0.05885913754666938,0.10844905518882683
2002-12-31,2884131.1569867786,731908.8926400001,0.04032381,-0.04939089179998335,-0.05874801853407208,-0.05275120929998335
2003-01-31,3019905.480040012,712735.67184,0.04048571,0.04707633448788262,-0.026196185061834965,0.043702525321215956
2003-02-28,3101353.601626291,702041.77572,0.039026318,0.026970420804428574,-0.015004014170348134,0.023718227637761907
2003-03-31,2985473.9207773563,708857.85048,0.038071427,-0.03736422728068467,0.009708930430827323,-0.04053684619735134
2003-04-30,3275902.9210101767,767246.85996,0.039585712,0.0972807024746003,0.08237054783333808,0.09398189314126697
2003-05-30,3454607.488016449,807670.91328,0.035690475,0.05455124016653268,0.05268715380875899,0.05157703391653268
2003-06-30,3673938.3635748364,817974.2416800001,0.03334286,0.06348937652662867,0.012756839735824643,0.060710804859962005
2003-07-31,3646942.9553062404,832396.2319199999,0.039754546,-0.00734781196555756,0.017631350114863276,-0.010660690798890893
2003-08-29,3454907.0338724423,848630.03856,0.044452375999999995,-0.052656683635368906,0.019502498951196934,-0.056361048302035574
2003-09-30,3458805.374732814,839617.9632,0.042742867000000004,0.0011283489894666765,-0.0106195573459692,-0.002433556593866657
2003-10-31,3874782.7839377318,887115.1812,0.042904353000000006,0.12026620874470328,0.056570035518268114,0.11669084599470328
2003-11-28,3927124.708719381,894920.15268,0.0431,0.01350835071287726,0.008798148927450677,0.009916684046210593
2003-12-31,3881434.3270402867,941853.8620800001,0.042677264,-0.01163456347022751,0.05244457760778842,-0.015191002136894177
2004-01-30,4163322.9515835717,959141.56344,0.041505013,0.07262485998526058,0.018354972099197564,0.06916610890192725
2004-02-27,4663544.350211843,972473.09772,0.040842093999999995,0.12014955468155697,0.013899443823689461,0.11674604684822364
2004-03-31,4287784.492101365,957802.1422799999,0.03826522,-0.08057387898399837,-0.015086232693116819,-0.0837626473173317
2004-04-30,4113954.3499300326,942766.15404,0.043476195,-0.04054078335596134,-0.015698428283118515,-0.04416379960596134
2004-05-28,3994385.3207676113,955703.6385600001,0.047154999999999996,-0.02906425764409737,0.013722898795803795,-0.0329938409774307
2004-06-30,3976944.4270610344,974287.2356400001,0.047338095,-0.004366352343600499,0.019444937039269528,-0.0083111935936005
2004-07-30,4277141.860858726,942041.31144,0.044980954999999996,0.07548444271813426,-0.033096937966982654,0.0717360298014676
2004-08-31,4199928.716534887,945851.81352,0.042813635,-0.018052509557945018,0.004044941589849582,-0.021620312474611686
2004-09-30,4369875.438502888,956095.94736,0.041257140000000005,0.04046419199900453,0.010830590684048458,0.037026096999004526
2004-10-29,4255371.597631008,970702.48512,0.040995245,-0.026202998800146315,0.01527727191013839,-0.02961926921681298
2004-11-30,4344163.242376018,1009978.629,0.041966662,0.02086577933509748,0.040461567248532004,0.017368557501764144
2004-12-31,4271855.893552043,1044346.85088,0.042309093000000006,-0.016644712638475223,0.034028662481728755,-0.020170470388475224
2005-01-31,4583665.052758809,1018890.8862000001,0.042215004,0.0729914976011743,-0.02437500975710316,0.0694735806011743
2005-02-28,4744320.168457656,1040332.65,0.04165262,0.03504948853148693,0.021044219837874856,0.03157843686482026
2005-03-31,4857297.655579529,1021910.271,0.04497727,0.02381320887089311,-0.017708161903791098,0.020065103037559776
2005-04-29,5018074.208814599,1002529.1148,0.043409539999999996,0.03310000017198611,-0.018965614447767898,0.029482538505319445
2005-05-31,5030781.692733996,1034428.17084,0.041442857,0.0025323427654926345,0.03181858319033837,-0.0009212286511740323
2005-06-30,5400452.013114649,1035896.71716,0.039981817999999995,0.07348168594049143,0.0014196696893971072,0.07014986777382476
2005-07-29,5338255.931898473,1074419.8719600001,0.041774993,-0.011516828788615596,0.03718821979242737,-0.014998078205282263
2005-08-31,5307184.201519292,1064616.9113999999,0.042626085,-0.005820577127730653,-0.009123956858799853,-0.009372750877730653
2005-09-30,5668652.779679603,1073239.6376399999,0.041990480000000004,0.06810929570841595,0.008099369968358694,0.06461008904174928
2005-10-31,5810864.115264859,1055347.92012,0.044580956,0.02508732517451784,-0.01667075729642542,0.021372245507851172
2005-11-30,6179097.815699055,1095263.364828,0.04535714,0.06336986946001089,0.03782207170452523,0.05959010779334422
2005-12-30,5648263.207622,1095644.647176,0.044671434999999995,-0.08590810890359735,0.0003481193293266571,-0.08963072848693068
2006-01-31,5749550.12565629,1124654.8944960001,0.044159993999999994,0.017932400511649238,0.02647778857385319,0.014252401011649238
2006-02-28,5754300.767592505,1127706.430008,0.045688943999999995,0.000826263243626002,0.002713308346350418,-0.0029811487563739976
